server,suite,command,conns,pipeline,datasize,rep,rps,p50_ms
redis,conc,PING,1,1,3,1,18670.65,0.047
redis,conc,PING,1,1,3,2,18747.66,0.047
redis,conc,PING,1,1,3,3,17705.38,0.047
redis,conc,PING,1,1,3,4,18975.33,0.047
redis,conc,PING,1,1,3,5,18932.22,0.047
redis,conc,PING,10,1,3,1,83752.09,0.071
redis,conc,PING,10,1,3,2,83472.46,0.071
redis,conc,PING,10,1,3,3,76569.68,0.071
redis,conc,PING,10,1,3,4,74183.98,0.071
redis,conc,PING,10,1,3,5,82644.62,0.071
redis,conc,PING,50,1,3,1,82781.46,0.311
redis,conc,PING,50,1,3,2,77519.38,0.319
redis,conc,PING,50,1,3,3,65274.15,0.431
redis,conc,PING,50,1,3,4,72463.77,0.327
redis,conc,PING,50,1,3,5,81833.06,0.311
redis,conc,PING,200,1,3,1,78616.35,1.255
redis,conc,PING,200,1,3,2,69832.40,1.319
redis,conc,PING,200,1,3,3,78988.94,1.255
redis,conc,PING,200,1,3,4,74850.30,1.295
redis,conc,PING,200,1,3,5,79617.83,1.263
redis,conc,PING,1000,1,3,1,76687.12,6.495
redis,conc,PING,1000,1,3,2,78247.26,6.375
redis,conc,PING,1000,1,3,3,77279.75,6.495
redis,conc,PING,1000,1,3,4,72568.94,6.871
redis,conc,PING,1000,1,3,5,75872.54,6.615
redis,pipe,PING,50,1,3,1,77760.50,0.319
redis,pipe,PING,50,1,3,2,80612.66,0.311
redis,pipe,PING,50,1,3,3,76277.65,0.319
redis,pipe,PING,50,1,3,4,79491.26,0.311
redis,pipe,PING,50,1,3,5,77279.75,0.319
redis,pipe,PING,50,8,3,1,595238.12,0.343
redis,pipe,PING,50,8,3,2,591716.00,0.343
redis,pipe,PING,50,8,3,3,600600.56,0.327
redis,pipe,PING,50,8,3,4,617283.94,0.327
redis,pipe,PING,50,8,3,5,625000.00,0.319
redis,pipe,PING,50,16,3,1,1142857.12,0.351
redis,pipe,PING,50,16,3,2,1242236.00,0.335
redis,pipe,PING,50,16,3,3,1020408.19,0.447
redis,pipe,PING,50,16,3,4,1265822.75,0.327
redis,pipe,PING,50,16,3,5,1226993.88,0.335
redis,pipe,PING,50,64,3,1,2816901.25,0.975
redis,pipe,PING,50,64,3,2,2173913.00,1.247
redis,pipe,PING,50,64,3,3,2857142.75,0.967
redis,pipe,PING,50,64,3,4,2816901.25,0.967
redis,pipe,PING,50,64,3,5,2857142.75,0.967
redis,size,SET,50,1,8,1,82191.78,0.311
redis,size,SET,50,1,8,2,74812.97,0.319
redis,size,SET,50,1,8,3,77720.20,0.319
redis,size,SET,50,1,8,4,79575.59,0.319
redis,size,SET,50,1,8,5,79575.59,0.319
redis,size,SET,50,1,32,1,77519.38,0.319
redis,size,SET,50,1,32,2,82872.93,0.311
redis,size,SET,50,1,32,3,82644.62,0.311
redis,size,SET,50,1,32,4,82644.62,0.311
redis,size,SET,50,1,32,5,81081.08,0.311
redis,size,SET,50,1,128,1,78534.03,0.311
redis,size,SET,50,1,128,2,79787.23,0.311
redis,size,SET,50,1,128,3,81300.81,0.311
redis,size,SET,50,1,128,4,74257.42,0.319
redis,size,SET,50,1,128,5,80428.95,0.311
redis,size,SET,50,1,512,1,79787.23,0.319
redis,size,SET,50,1,512,2,82417.59,0.311
redis,size,SET,50,1,512,3,78125.00,0.311
redis,size,SET,50,1,512,4,82191.78,0.311
redis,size,SET,50,1,512,5,82191.78,0.311
redis,size,SET,50,1,2048,1,71599.05,0.327
redis,size,SET,50,1,2048,2,75757.58,0.327
redis,size,SET,50,1,2048,3,79787.23,0.319
redis,size,SET,50,1,2048,4,80000.00,0.319
redis,size,SET,50,1,2048,5,78125.00,0.319
redis,size,SET,50,1,8192,1,66518.84,0.359
