server,conns,rss_kb,goroutine_cost_kb_per_conn
redis,0,18244,0
redis,100,19136,8.16
redis,500,22564,8.74
redis,1000,26896,8.64
redis,5000,41124,4.56
kqueue,0,8068,0
kqueue,100,8064,0.00
kqueue,500,8080,0.05
kqueue,1000,8092,0.04
kqueue,5000,8116,0.01
kqueue-wbuf,0,8056,0
kqueue-wbuf,100,8048,0.04
kqueue-wbuf,500,8076,0.06
kqueue-wbuf,1000,8088,0.04
kqueue-wbuf,5000,8148,0.02
net,0,5996,0
net,100,8148,21.56
net,500,15040,18.06
net,1000,23816,15.75
net,5000,97368,18.27
net-small,0,6000,0
net-small,100,8116,21.04
net-small,500,10380,8.76
net-small,1000,14740,8.77
net-small,5000,41800,7.16
net-direct,0,5984,0
net-direct,100,8128,21.36
net-direct,500,12800,13.64
net-direct,1000,21600,15.62
net-direct,5000,75988,14.00
net-chan,0,5988,0
net-chan,100,8160,21.68
net-chan,500,14964,17.94
net-chan,1000,25972,17.88
net-chan,5000,97340,18.27
