server,command,conns,pipeline,datasize,rep,rps,p50_ms
kqueue,PING,50,1,3,1,64794.82,0.391
kqueue,PING,50,1,3,2,65075.92,0.391
kqueue,PING,50,1,3,3,59760.96,0.407
kqueue,PING,50,1,3,4,66518.84,0.383
kqueue,PING,50,1,3,5,67415.73,0.375
kqueue,PING,50,16,3,1,127659.58,5.759
kqueue,PING,50,16,3,2,128755.37,5.871
kqueue,PING,50,16,3,3,123456.79,5.919
kqueue,PING,50,16,3,4,127659.58,5.863
kqueue,PING,50,16,3,5,120000.00,6.055
kqueue,SET,50,1,512,1,66079.30,0.383
kqueue,SET,50,1,512,2,61349.70,0.399
kqueue,SET,50,1,512,3,63157.89,0.391
kqueue,SET,50,1,512,4,62893.08,0.391
kqueue,SET,50,1,512,5,64655.18,0.383
kqueue,SET,50,1,32768,1,7702.18,6.383
kqueue,SET,50,1,32768,2,7550.97,6.471
kqueue,SET,50,1,32768,3,7498.13,6.495
kqueue,SET,50,1,32768,4,7372.82,6.631
kqueue,SET,50,1,32768,5,7618.08,6.399
kqueue-wbuf,PING,50,1,3,1,65502.18,0.383
kqueue-wbuf,PING,50,1,3,2,65359.48,0.383
kqueue-wbuf,PING,50,1,3,3,64516.13,0.383
kqueue-wbuf,PING,50,1,3,4,66815.15,0.383
kqueue-wbuf,PING,50,1,3,5,68649.88,0.375
kqueue-wbuf,PING,50,16,3,1,789473.69,1.047
kqueue-wbuf,PING,50,16,3,2,882352.88,0.543
kqueue-wbuf,PING,50,16,3,3,1034482.81,0.455
kqueue-wbuf,PING,50,16,3,4,1034482.81,0.559
kqueue-wbuf,PING,50,16,3,5,769230.75,1.055
kqueue-wbuf,SET,50,1,512,1,64516.13,0.383
kqueue-wbuf,SET,50,1,512,2,66079.30,0.383
kqueue-wbuf,SET,50,1,512,3,63829.79,0.391
kqueue-wbuf,SET,50,1,512,4,63965.88,0.383
kqueue-wbuf,SET,50,1,512,5,60362.17,0.407
kqueue-wbuf,SET,50,1,32768,1,7438.63,6.591
kqueue-wbuf,SET,50,1,32768,2,7509.39,6.503
kqueue-wbuf,SET,50,1,32768,3,7570.02,6.463
kqueue-wbuf,SET,50,1,32768,4,7471.98,6.527
kqueue-wbuf,SET,50,1,32768,5,7457.12,6.543
net,PING,50,1,3,1,56818.18,0.455
net,PING,50,1,3,2,56497.17,0.463
net,PING,50,1,3,3,56179.78,0.471
net,PING,50,1,3,4,55970.15,0.471
net,PING,50,1,3,5,56285.18,0.471
net,PING,50,16,3,1,789473.69,0.511
net,PING,50,16,3,2,810810.81,0.503
net,PING,50,16,3,3,833333.38,0.503
net,PING,50,16,3,4,833333.38,0.503
net,PING,50,16,3,5,810810.81,0.511
net,SET,50,1,512,1,56074.76,0.471
net,SET,50,1,512,2,55555.55,0.471
net,SET,50,1,512,3,56179.78,0.463
net,SET,50,1,512,4,55865.92,0.471
net,SET,50,1,512,5,55350.55,0.471
net,SET,50,1,32768,1,13599.27,3.399
net,SET,50,1,32768,2,13574.66,3.407
net,SET,50,1,32768,3,13780.43,3.367
net,SET,50,1,32768,4,13623.98,3.399
net,SET,50,1,32768,5,13404.83,3.487
net-chan,PING,50,1,3,1,53859.96,0.503
net-chan,PING,50,1,3,2,53475.94,0.495
net-chan,PING,50,1,3,3,54151.62,0.495
net-chan,PING,50,1,3,4,53859.96,0.495
net-chan,PING,50,1,3,5,53859.96,0.495
net-chan,PING,50,16,3,1,789473.69,0.535
net-chan,PING,50,16,3,2,769230.75,0.543
net-chan,PING,50,16,3,3,789473.69,0.519
net-chan,PING,50,16,3,4,769230.75,0.535
net-chan,PING,50,16,3,5,789473.69,0.527
net-chan,SET,50,1,512,1,53191.49,0.503
net-chan,SET,50,1,512,2,52816.90,0.503
net-chan,SET,50,1,512,3,53191.49,0.503
net-chan,SET,50,1,512,4,53097.34,0.503
net-chan,SET,50,1,512,5,53285.96,0.503
net-chan,SET,50,1,32768,1,12787.72,3.551
net-chan,SET,50,1,32768,2,12992.64,3.471
net-chan,SET,50,1,32768,3,12925.46,3.527
net-chan,SET,50,1,32768,4,12615.64,3.567
net-chan,SET,50,1,32768,5,12474.01,3.607
