server,suite,command,conns,pipeline,datasize,rep,rps,p50_ms
redis,conc,PING,1,1,3,1,18335.17,0.047
redis,conc,PING,1,1,3,2,18663.68,0.047
redis,conc,PING,1,1,3,3,18953.75,0.047
redis,conc,PING,1,1,3,4,19223.38,0.047
redis,conc,PING,1,1,3,5,18552.88,0.047
redis,conc,PING,10,1,3,1,75414.78,0.071
redis,conc,PING,10,1,3,2,70422.54,0.079
redis,conc,PING,10,1,3,3,76923.08,0.071
redis,conc,PING,10,1,3,4,73313.78,0.079
redis,conc,PING,10,1,3,5,72886.30,0.079
redis,conc,PING,50,1,3,1,74738.41,0.335
redis,conc,PING,50,1,3,2,77639.75,0.327
redis,conc,PING,50,1,3,3,77881.62,0.327
redis,conc,PING,50,1,3,4,78247.26,0.327
redis,conc,PING,50,1,3,5,70422.54,0.343
redis,conc,PING,200,1,3,1,76219.51,1.327
redis,conc,PING,200,1,3,2,75301.21,1.335
redis,conc,PING,200,1,3,3,73421.44,1.343
redis,conc,PING,200,1,3,4,74294.21,1.335
redis,conc,PING,200,1,3,5,76569.68,1.311
redis,conc,PING,1000,1,3,1,67114.09,7.431
redis,conc,PING,1000,1,3,2,63613.23,8.007
redis,conc,PING,1000,1,3,3,60096.15,8.247
redis,conc,PING,1000,1,3,4,65189.05,7.623
redis,conc,PING,1000,1,3,5,68027.21,7.399
redis,pipe,PING,50,1,3,1,75216.25,0.335
redis,pipe,PING,50,1,3,2,74487.90,0.335
redis,pipe,PING,50,1,3,3,75329.57,0.335
redis,pipe,PING,50,1,3,4,71787.51,0.335
redis,pipe,PING,50,1,3,5,70298.77,0.343
redis,pipe,PING,50,8,3,1,597014.94,0.343
redis,pipe,PING,50,8,3,2,574712.69,0.343
redis,pipe,PING,50,8,3,3,502512.56,0.383
redis,pipe,PING,50,8,3,4,576368.88,0.343
redis,pipe,PING,50,8,3,5,593471.81,0.343
redis,pipe,PING,50,16,3,1,1162790.62,0.351
redis,pipe,PING,50,16,3,2,1169590.62,0.351
redis,pipe,PING,50,16,3,3,1176470.62,0.351
redis,pipe,PING,50,16,3,4,1176470.62,0.351
redis,pipe,PING,50,16,3,5,1142857.12,0.351
redis,pipe,PING,50,64,3,1,2500000.00,1.071
redis,pipe,PING,50,64,3,2,2777778.00,0.975
redis,pipe,PING,50,64,3,3,2739726.00,0.983
redis,pipe,PING,50,64,3,4,2777778.00,0.983
redis,pipe,PING,50,64,3,5,2739726.00,0.983
redis,size,SET,50,1,8,1,76335.88,0.335
redis,size,SET,50,1,8,2,66964.28,0.351
redis,size,SET,50,1,8,3,75566.75,0.335
redis,size,SET,50,1,8,4,77120.82,0.335
redis,size,SET,50,1,8,5,78125.00,0.327
redis,size,SET,50,1,32,1,77519.38,0.335
redis,size,SET,50,1,32,2,69124.43,0.343
redis,size,SET,50,1,32,3,68493.15,0.343
redis,size,SET,50,1,32,4,74441.69,0.335
redis,size,SET,50,1,32,5,77120.82,0.335
redis,size,SET,50,1,128,1,77120.82,0.327
redis,size,SET,50,1,128,2,77720.20,0.327
redis,size,SET,50,1,128,3,75757.58,0.327
redis,size,SET,50,1,128,4,78125.00,0.327
redis,size,SET,50,1,128,5,78328.98,0.327
redis,size,SET,50,1,512,1,78125.00,0.327
redis,size,SET,50,1,512,2,77720.20,0.335
redis,size,SET,50,1,512,3,60975.61,0.455
redis,size,SET,50,1,512,4,72289.16,0.335
redis,size,SET,50,1,512,5,75949.37,0.335
redis,size,SET,50,1,2048,1,68649.88,0.351
redis,size,SET,50,1,2048,2,61728.39,0.391
redis,size,SET,50,1,2048,3,69767.44,0.343
redis,size,SET,50,1,2048,4,75757.58,0.343
redis,size,SET,50,1,2048,5,75566.75,0.343
redis,size,SET,50,1,8192,1,62111.80,0.399
redis,size,SET,50,1,8192,2,62111.80,0.391
redis,size,SET,50,1,8192,3,64516.13,0.391
redis,size,SET,50,1,8192,4,66079.30,0.383
redis,size,SET,50,1,8192,5,66815.15,0.383
redis,size,SET,50,1,32768,1,47169.81,0.527
redis,size,SET,50,1,32768,2,48387.10,0.503
redis,size,SET,50,1,32768,3,45871.56,0.527
redis,size,SET,50,1,32768,4,46583.85,0.519
redis,size,SET,50,1,32768,5,48780.49,0.511
redis,cmd,PING,50,1,3,1,72568.94,0.335
redis,cmd,PING,50,1,3,2,71530.76,0.335
redis,cmd,PING,50,1,3,3,73964.50,0.335
redis,cmd,PING,50,1,3,4,72254.34,0.335
redis,cmd,PING,50,1,3,5,76804.91,0.335
redis,cmd,SET,50,1,32,1,64683.05,0.359
redis,cmd,SET,50,1,32,2,71942.45,0.335
redis,cmd,SET,50,1,32,3,77041.60,0.335
redis,cmd,SET,50,1,32,4,78492.93,0.327
redis,cmd,SET,50,1,32,5,67842.61,0.343
redis,cmd,GET,50,1,32,1,77041.60,0.335
redis,cmd,GET,50,1,32,2,77279.75,0.335
redis,cmd,GET,50,1,32,3,74183.98,0.335
redis,cmd,GET,50,1,32,4,70621.47,0.343
redis,cmd,GET,50,1,32,5,72568.94,0.335
redis,cmd,INCR,50,1,3,1,75757.57,0.335
redis,cmd,INCR,50,1,3,2,68681.32,0.343
redis,cmd,INCR,50,1,3,3,76687.12,0.335
redis,cmd,INCR,50,1,3,4,70323.48,0.335
redis,cmd,INCR,50,1,3,5,77279.75,0.335
redis,cmd,SADD,50,1,3,1,68965.52,0.343
redis,cmd,SADD,50,1,3,2,75987.84,0.335
redis,cmd,SADD,50,1,3,3,72568.94,0.335
redis,cmd,SADD,50,1,3,4,78247.26,0.327
redis,cmd,SADD,50,1,3,5,73421.44,0.335
redis,cmd,ZADD,50,1,3,1,70921.98,0.343
redis,cmd,ZADD,50,1,3,2,77519.38,0.335
redis,cmd,ZADD,50,1,3,3,77519.38,0.327
redis,cmd,ZADD,50,1,3,4,73099.41,0.335
redis,cmd,ZADD,50,1,3,5,74183.98,0.335
redis,cmd,GEOADD,50,1,3,1,75757.57,0.335
redis,cmd,GEOADD,50,1,3,2,77399.38,0.327
redis,cmd,GEOADD,50,1,3,3,74850.30,0.335
redis,cmd,GEOADD,50,1,3,4,78247.26,0.327
redis,cmd,GEOADD,50,1,3,5,74962.52,0.335
kqueue,conc,PING,1,1,3,1,18409.43,0.047
kqueue,conc,PING,1,1,3,2,18559.76,0.047
kqueue,conc,PING,1,1,3,3,18733.61,0.047
kqueue,conc,PING,1,1,3,4,18201.67,0.047
kqueue,conc,PING,1,1,3,5,17914.73,0.047
kqueue,conc,PING,10,1,3,1,69252.08,0.079
kqueue,conc,PING,10,1,3,2,66313.00,0.087
kqueue,conc,PING,10,1,3,3,70521.86,0.079
kqueue,conc,PING,10,1,3,4,74850.30,0.079
kqueue,conc,PING,10,1,3,5,75642.96,0.079
kqueue,conc,PING,50,1,3,1,69252.08,0.343
kqueue,conc,PING,50,1,3,2,72150.07,0.343
kqueue,conc,PING,50,1,3,3,70224.72,0.343
kqueue,conc,PING,50,1,3,4,68399.45,0.351
kqueue,conc,PING,50,1,3,5,72674.41,0.335
kqueue,conc,PING,200,1,3,1,72780.20,1.343
kqueue,conc,PING,200,1,3,2,63051.70,1.463
kqueue,conc,PING,200,1,3,3,71530.76,1.335
kqueue,conc,PING,200,1,3,4,72568.94,1.343
kqueue,conc,PING,200,1,3,5,74183.98,1.335
kqueue,conc,PING,1000,1,3,1,66313.00,7.567
kqueue,conc,PING,1000,1,3,2,64516.13,7.695
kqueue,conc,PING,1000,1,3,3,63051.70,7.887
kqueue,conc,PING,1000,1,3,4,63532.40,7.831
kqueue,conc,PING,1000,1,3,5,63211.12,8.063
kqueue,pipe,PING,50,1,3,1,69881.20,0.351
kqueue,pipe,PING,50,1,3,2,70274.07,0.343
kqueue,pipe,PING,50,1,3,3,66666.66,0.359
kqueue,pipe,PING,50,1,3,4,69759.33,0.343
kqueue,pipe,PING,50,1,3,5,71479.62,0.343
kqueue,pipe,PING,50,8,3,1,120772.95,2.839
kqueue,pipe,PING,50,8,3,2,122473.98,2.775
kqueue,pipe,PING,50,8,3,3,123762.38,2.791
kqueue,pipe,PING,50,8,3,4,119189.52,2.807
kqueue,pipe,PING,50,8,3,5,134318.34,2.743
kqueue,pipe,PING,50,16,3,1,123992.55,5.607
kqueue,pipe,PING,50,16,3,2,134680.14,5.463
kqueue,pipe,PING,50,16,3,3,116959.06,5.767
kqueue,pipe,PING,50,16,3,4,117233.30,5.783
kqueue,pipe,PING,50,16,3,5,114547.53,5.967
kqueue,pipe,PING,50,64,3,1,119832.23,23.007
kqueue,pipe,PING,50,64,3,2,132013.20,21.951
kqueue,pipe,PING,50,64,3,3,110314.40,30.591
kqueue,pipe,PING,50,64,3,4,128617.37,22.383
kqueue,pipe,PING,50,64,3,5,128040.97,22.495
kqueue,size,SET,50,1,8,1,69124.43,0.351
kqueue,size,SET,50,1,8,2,65789.48,0.367
kqueue,size,SET,50,1,8,3,68649.88,0.351
kqueue,size,SET,50,1,8,4,72463.77,0.343
kqueue,size,SET,50,1,8,5,77922.08,0.327
kqueue,size,SET,50,1,32,1,58139.54,0.463
kqueue,size,SET,50,1,32,2,71090.05,0.335
kqueue,size,SET,50,1,32,3,70921.98,0.335
kqueue,size,SET,50,1,32,4,78125.00,0.327
kqueue,size,SET,50,1,32,5,72992.70,0.327
kqueue,size,SET,50,1,128,1,66518.84,0.359
kqueue,size,SET,50,1,128,2,75000.00,0.335
kqueue,size,SET,50,1,128,3,66666.67,0.359
kqueue,size,SET,50,1,128,4,73710.07,0.335
kqueue,size,SET,50,1,128,5,73891.62,0.335
kqueue,size,SET,50,1,512,1,68807.34,0.351
kqueue,size,SET,50,1,512,2,68027.21,0.351
kqueue,size,SET,50,1,512,3,75000.00,0.335
kqueue,size,SET,50,1,512,4,65075.92,0.383
kqueue,size,SET,50,1,512,5,71428.57,0.343
kqueue,size,SET,50,1,2048,1,65645.52,0.399
kqueue,size,SET,50,1,2048,2,69444.45,0.367
kqueue,size,SET,50,1,2048,3,67567.57,0.383
kqueue,size,SET,50,1,2048,4,66518.84,0.383
kqueue,size,SET,50,1,2048,5,63025.21,0.447
kqueue,size,SET,50,1,8192,1,34642.03,1.383
kqueue,size,SET,50,1,8192,2,34324.94,1.415
kqueue,size,SET,50,1,8192,3,33594.62,1.415
kqueue,size,SET,50,1,8192,4,33860.05,1.407
kqueue,size,SET,50,1,8192,5,33745.78,1.415
kqueue,size,SET,50,1,32768,1,7515.03,6.527
kqueue,size,SET,50,1,32768,2,7458.98,6.575
kqueue,size,SET,50,1,32768,3,7429.42,6.583
kqueue,size,SET,50,1,32768,4,7363.77,6.687
kqueue,size,SET,50,1,32768,5,7526.34,6.495
kqueue,cmd,PING,50,1,3,1,74294.21,0.335
kqueue,cmd,PING,50,1,3,2,66225.16,0.367
kqueue,cmd,PING,50,1,3,3,76335.88,0.327
kqueue,cmd,PING,50,1,3,4,73964.50,0.335
kqueue,cmd,PING,50,1,3,5,68965.52,0.343
kqueue,cmd,SET,50,1,32,1,71225.07,0.343
kqueue,cmd,SET,50,1,32,2,65359.48,0.367
kqueue,cmd,SET,50,1,32,3,74183.98,0.335
kqueue,cmd,SET,50,1,32,4,71942.45,0.343
kqueue,cmd,SET,50,1,32,5,75642.96,0.335
kqueue,cmd,GET,50,1,32,1,70721.36,0.343
kqueue,cmd,GET,50,1,32,2,69348.12,0.343
kqueue,cmd,GET,50,1,32,3,75301.21,0.335
kqueue,cmd,GET,50,1,32,4,71942.45,0.335
kqueue,cmd,GET,50,1,32,5,72992.70,0.343
kqueue,cmd,INCR,50,1,3,1,76569.68,0.335
kqueue,cmd,INCR,50,1,3,2,72568.94,0.335
kqueue,cmd,INCR,50,1,3,3,74962.52,0.335
kqueue,cmd,INCR,50,1,3,4,70028.02,0.343
kqueue,cmd,INCR,50,1,3,5,76687.12,0.335
kqueue,cmd,SADD,50,1,3,1,76335.88,0.335
kqueue,cmd,SADD,50,1,3,2,77041.60,0.335
kqueue,cmd,SADD,50,1,3,3,69444.45,0.343
kqueue,cmd,SADD,50,1,3,4,61957.87,0.455
kqueue,cmd,SADD,50,1,3,5,67842.61,0.351
kqueue,cmd,ZADD,50,1,3,1,69444.45,0.351
kqueue,cmd,ZADD,50,1,3,2,69541.03,0.351
kqueue,cmd,ZADD,50,1,3,3,77519.38,0.327
kqueue,cmd,ZADD,50,1,3,4,66755.67,0.351
kqueue,cmd,ZADD,50,1,3,5,68493.15,0.351
kqueue,cmd,GEOADD,50,1,3,1,75642.96,0.335
kqueue,cmd,GEOADD,50,1,3,2,72254.34,0.343
kqueue,cmd,GEOADD,50,1,3,3,77041.60,0.327
kqueue,cmd,GEOADD,50,1,3,4,78003.12,0.327
kqueue,cmd,GEOADD,50,1,3,5,73099.41,0.335
kqueue-wbuf,conc,PING,1,1,3,1,18429.78,0.047
kqueue-wbuf,conc,PING,1,1,3,2,18882.18,0.047
kqueue-wbuf,conc,PING,1,1,3,3,18608.11,0.047
kqueue-wbuf,conc,PING,1,1,3,4,19387.36,0.047
kqueue-wbuf,conc,PING,1,1,3,5,18804.06,0.047
kqueue-wbuf,conc,PING,10,1,3,1,77519.38,0.071
kqueue-wbuf,conc,PING,10,1,3,2,67204.30,0.095
kqueue-wbuf,conc,PING,10,1,3,3,75414.78,0.071
kqueue-wbuf,conc,PING,10,1,3,4,77881.62,0.071
kqueue-wbuf,conc,PING,10,1,3,5,72992.70,0.079
kqueue-wbuf,conc,PING,50,1,3,1,69444.45,0.343
