server,suite,command,conns,pipeline,datasize,rep,rps,p50_ms
iothreads-1,conc,PING,1,1,3,1,59031.88,0.015
iothreads-1,conc,PING,1,1,3,2,61652.28,0.015
iothreads-1,conc,PING,1,1,3,3,61652.28,0.015
iothreads-1,conc,PING,1,1,3,4,61652.28,0.015
iothreads-1,conc,PING,1,1,3,5,61349.70,0.015
iothreads-1,conc,PING,10,1,3,1,218340.61,0.031
iothreads-1,conc,PING,10,1,3,2,216450.20,0.031
iothreads-1,conc,PING,10,1,3,3,220264.31,0.031
iothreads-1,conc,PING,10,1,3,4,223214.28,0.031
iothreads-1,conc,PING,10,1,3,5,207468.88,0.031
iothreads-1,conc,PING,50,1,3,1,197628.47,0.119
iothreads-1,conc,PING,50,1,3,2,205761.31,0.119
iothreads-1,conc,PING,50,1,3,3,193050.19,0.127
iothreads-1,conc,PING,50,1,3,4,204081.62,0.119
iothreads-1,conc,PING,50,1,3,5,195312.48,0.127
iothreads-1,conc,PING,200,1,3,1,193798.45,0.447
iothreads-1,conc,PING,200,1,3,2,192307.70,0.455
iothreads-1,conc,PING,200,1,3,3,199203.20,0.455
iothreads-1,conc,PING,200,1,3,4,193798.45,0.471
iothreads-1,conc,PING,200,1,3,5,198412.69,0.447
iothreads-1,conc,PING,1000,1,3,1,197628.47,2.215
iothreads-1,conc,PING,1000,1,3,2,190839.70,2.399
iothreads-1,conc,PING,1000,1,3,3,186567.16,2.471
iothreads-1,conc,PING,1000,1,3,4,180505.41,2.879
iothreads-1,conc,PING,1000,1,3,5,204918.03,2.143
iothreads-1,size,SET,50,1,8,1,158730.16,0.183
iothreads-1,size,SET,50,1,8,2,192307.69,0.119
iothreads-1,size,SET,50,1,8,3,222222.22,0.119
iothreads-1,size,SET,50,1,8,4,198019.80,0.127
iothreads-1,size,SET,50,1,8,5,202020.20,0.127
iothreads-1,size,GET,50,1,8,1,190476.20,0.127
iothreads-1,size,GET,50,1,8,2,161290.33,0.199
iothreads-1,size,GET,50,1,8,3,172413.80,0.183
iothreads-1,size,GET,50,1,8,4,202020.20,0.119
iothreads-1,size,GET,50,1,8,5,192307.69,0.127
iothreads-1,size,SET,50,1,512,1,186915.89,0.127
iothreads-1,size,SET,50,1,512,2,180180.17,0.143
iothreads-1,size,SET,50,1,512,3,180180.17,0.159
iothreads-1,size,SET,50,1,512,4,181818.19,0.167
iothreads-1,size,SET,50,1,512,5,170940.17,0.183
iothreads-1,size,GET,50,1,512,1,188679.25,0.135
iothreads-1,size,GET,50,1,512,2,200000.00,0.119
iothreads-1,size,GET,50,1,512,3,202020.20,0.119
iothreads-1,size,GET,50,1,512,4,181818.19,0.167
iothreads-1,size,GET,50,1,512,5,212765.97,0.119
iothreads-1,size,SET,50,1,8192,1,147058.81,0.207
iothreads-1,size,SET,50,1,8192,2,148148.14,0.207
iothreads-1,size,SET,50,1,8192,3,145985.41,0.215
iothreads-1,size,SET,50,1,8192,4,140845.06,0.215
iothreads-1,size,SET,50,1,8192,5,147058.81,0.207
iothreads-1,size,GET,50,1,8192,1,168067.22,0.175
iothreads-1,size,GET,50,1,8192,2,157480.31,0.191
iothreads-1,size,GET,50,1,8192,3,151515.16,0.191
iothreads-1,size,GET,50,1,8192,4,166666.67,0.183
iothreads-1,size,GET,50,1,8192,5,147058.81,0.207
iothreads-1,size,SET,50,1,65536,1,40241.45,1.159
iothreads-1,size,SET,50,1,65536,2,40650.41,1.143
iothreads-1,size,SET,50,1,65536,3,40816.32,1.143
iothreads-1,size,SET,50,1,65536,4,40241.45,1.151
iothreads-1,size,SET,50,1,65536,5,40404.04,1.151
iothreads-1,size,GET,50,1,65536,1,78125.00,0.335
iothreads-1,size,GET,50,1,65536,2,76335.88,0.295
iothreads-1,size,GET,50,1,65536,3,79051.38,0.327
iothreads-1,size,GET,50,1,65536,4,77220.08,0.319
iothreads-1,size,GET,50,1,65536,5,77821.02,0.335
iothreads-1,size,SET,50,1,262144,1,15686.27,2.999
iothreads-1,size,SET,50,1,262144,2,15735.64,2.991
iothreads-1,size,SET,50,1,262144,3,15637.22,3.007
iothreads-1,size,SET,50,1,262144,4,15710.92,3.007
iothreads-1,size,SET,50,1,262144,5,15710.92,3.007
iothreads-1,size,GET,50,1,262144,1,31897.93,1.015
iothreads-1,size,GET,50,1,262144,2,29154.52,1.103
iothreads-1,size,GET,50,1,262144,3,30674.85,1.071
iothreads-1,size,GET,50,1,262144,4,31152.65,1.055
iothreads-1,size,GET,50,1,262144,5,31055.90,1.063
iothreads-1,pipe,PING,50,1,3,1,189753.31,0.119
iothreads-1,pipe,PING,50,1,3,2,200803.22,0.111
iothreads-1,pipe,PING,50,1,3,3,178571.42,0.175
iothreads-1,pipe,PING,50,1,3,4,191754.56,0.119
iothreads-1,pipe,PING,50,1,3,5,196850.39,0.119
iothreads-1,pipe,PING,50,8,3,1,1600000.00,0.119
iothreads-1,pipe,PING,50,8,3,2,1562499.88,0.119
iothreads-1,pipe,PING,50,8,3,3,1298701.25,0.191
iothreads-1,pipe,PING,50,8,3,4,1315789.50,0.183
iothreads-1,pipe,PING,50,8,3,5,1290322.62,0.191
iothreads-1,pipe,PING,50,64,3,1,6666667.00,0.375
iothreads-1,pipe,PING,50,64,3,2,6249999.50,0.391
iothreads-1,pipe,PING,50,64,3,3,6451613.00,0.407
iothreads-1,pipe,PING,50,64,3,4,6451613.00,0.375
iothreads-1,pipe,PING,50,64,3,5,6896552.00,0.367
iothreads-2,conc,PING,1,1,3,1,58275.06,0.015
iothreads-2,conc,PING,1,1,3,2,60606.06,0.015
iothreads-2,conc,PING,1,1,3,3,59311.98,0.015
iothreads-2,conc,PING,1,1,3,4,61274.51,0.015
iothreads-2,conc,PING,1,1,3,5,58139.54,0.015
iothreads-2,conc,PING,10,1,3,1,198412.69,0.031
iothreads-2,conc,PING,10,1,3,2,206611.58,0.031
iothreads-2,conc,PING,10,1,3,3,200000.00,0.031
iothreads-2,conc,PING,10,1,3,4,217391.30,0.031
iothreads-2,conc,PING,10,1,3,5,223214.28,0.031
iothreads-2,conc,PING,50,1,3,1,213675.22,0.111
iothreads-2,conc,PING,50,1,3,2,170648.45,0.175
iothreads-2,conc,PING,50,1,3,3,177935.95,0.167
iothreads-2,conc,PING,50,1,3,4,215517.25,0.111
iothreads-2,conc,PING,50,1,3,5,174216.03,0.175
iothreads-2,conc,PING,200,1,3,1,158730.16,0.711
iothreads-2,conc,PING,200,1,3,2,168350.17,0.695
iothreads-2,conc,PING,200,1,3,3,175438.59,0.543
iothreads-2,conc,PING,200,1,3,4,176678.45,0.551
iothreads-2,conc,PING,200,1,3,5,186567.16,0.479
iothreads-2,conc,PING,1000,1,3,1,133689.83,3.663
iothreads-2,conc,PING,1000,1,3,2,174825.17,2.567
iothreads-2,conc,PING,1000,1,3,3,175438.59,2.895
iothreads-2,conc,PING,1000,1,3,4,166112.95,3.015
iothreads-2,conc,PING,1000,1,3,5,169491.53,2.903
iothreads-2,size,SET,50,1,8,1,153846.16,0.183
iothreads-2,size,SET,50,1,8,2,186915.89,0.127
iothreads-2,size,SET,50,1,8,3,165289.25,0.183
iothreads-2,size,SET,50,1,8,4,180180.17,0.135
iothreads-2,size,SET,50,1,8,5,194174.75,0.127
iothreads-2,size,GET,50,1,8,1,178571.42,0.143
iothreads-2,size,GET,50,1,8,2,208333.33,0.119
iothreads-2,size,GET,50,1,8,3,215053.77,0.111
iothreads-2,size,GET,50,1,8,4,200000.00,0.119
iothreads-2,size,GET,50,1,8,5,215053.77,0.111
iothreads-2,size,SET,50,1,512,1,158730.16,0.183
iothreads-2,size,SET,50,1,512,2,168067.22,0.183
iothreads-2,size,SET,50,1,512,3,170940.17,0.175
iothreads-2,size,SET,50,1,512,4,168067.22,0.183
iothreads-2,size,SET,50,1,512,5,168067.22,0.183
iothreads-2,size,GET,50,1,512,1,181818.19,0.127
iothreads-2,size,GET,50,1,512,2,155038.77,0.191
iothreads-2,size,GET,50,1,512,3,190476.20,0.119
iothreads-2,size,GET,50,1,512,4,190476.20,0.127
iothreads-2,size,GET,50,1,512,5,180180.17,0.135
iothreads-2,size,SET,50,1,8192,1,133333.33,0.215
iothreads-2,size,SET,50,1,8192,2,132450.34,0.215
iothreads-2,size,SET,50,1,8192,3,132450.34,0.215
iothreads-2,size,SET,50,1,8192,4,132450.34,0.223
iothreads-2,size,SET,50,1,8192,5,136054.42,0.215
iothreads-2,size,GET,50,1,8192,1,142857.14,0.207
iothreads-2,size,GET,50,1,8192,2,141843.97,0.207
iothreads-2,size,GET,50,1,8192,3,136986.30,0.207
iothreads-2,size,GET,50,1,8192,4,147058.81,0.199
iothreads-2,size,GET,50,1,8192,5,141843.97,0.207
iothreads-2,size,SET,50,1,65536,1,43383.95,1.063
iothreads-2,size,SET,50,1,65536,2,44052.86,1.055
iothreads-2,size,SET,50,1,65536,3,43572.98,1.055
iothreads-2,size,SET,50,1,65536,4,43572.98,1.063
iothreads-2,size,SET,50,1,65536,5,43956.04,1.055
iothreads-2,size,GET,50,1,65536,1,74626.87,0.271
iothreads-2,size,GET,50,1,65536,2,74626.87,0.263
iothreads-2,size,GET,50,1,65536,3,75187.97,0.271
iothreads-2,size,GET,50,1,65536,4,74626.87,0.271
iothreads-2,size,GET,50,1,65536,5,74626.87,0.271
iothreads-2,size,SET,50,1,262144,1,20768.43,2.247
