server,suite,command,conns,pipeline,datasize,rep,rps,p50_ms
redis,conc,PING,1,1,3,1,23618.33,0.039
redis,conc,PING,1,1,3,2,24073.18,0.039
redis,conc,PING,1,1,3,3,23607.18,0.039
redis,conc,PING,1,1,3,4,23331.78,0.039
redis,conc,PING,1,1,3,5,23386.34,0.039
redis,conc,PING,10,1,3,1,68399.45,0.087
redis,conc,PING,10,1,3,2,68493.15,0.087
redis,conc,PING,10,1,3,3,67204.30,0.087
redis,conc,PING,10,1,3,4,68027.21,0.087
redis,conc,PING,10,1,3,5,68306.01,0.087
redis,conc,PING,50,1,3,1,68027.21,0.375
redis,conc,PING,50,1,3,2,65616.80,0.383
redis,conc,PING,50,1,3,3,68212.83,0.375
redis,conc,PING,50,1,3,4,66489.37,0.383
redis,conc,PING,50,1,3,5,67842.61,0.375
redis,conc,PING,200,1,3,1,66755.67,1.511
redis,conc,PING,200,1,3,2,66844.91,1.503
redis,conc,PING,200,1,3,3,66755.67,1.511
redis,conc,PING,200,1,3,4,66934.41,1.511
redis,conc,PING,200,1,3,5,67476.38,1.495
redis,conc,PING,1000,1,3,1,64766.84,7.751
redis,conc,PING,1000,1,3,2,65876.16,7.647
redis,conc,PING,1000,1,3,3,66050.20,7.615
redis,conc,PING,1000,1,3,4,66313.00,7.583
redis,conc,PING,1000,1,3,5,66489.37,7.551
redis,pipe,PING,50,1,3,1,67136.62,0.375
redis,pipe,PING,50,1,3,2,66467.27,0.383
redis,pipe,PING,50,1,3,3,67544.75,0.383
redis,pipe,PING,50,1,3,4,67590.40,0.383
redis,pipe,PING,50,1,3,5,66912.01,0.375
redis,pipe,PING,50,8,3,1,530504.00,0.383
redis,pipe,PING,50,8,3,2,529100.56,0.391
redis,pipe,PING,50,8,3,3,533333.31,0.383
redis,pipe,PING,50,8,3,4,530504.00,0.383
redis,pipe,PING,50,8,3,5,510204.09,0.391
redis,pipe,PING,50,16,3,1,1047120.44,0.391
redis,pipe,PING,50,16,3,2,1041666.69,0.391
redis,pipe,PING,50,16,3,3,1047120.44,0.391
redis,pipe,PING,50,16,3,4,1041666.69,0.391
redis,pipe,PING,50,16,3,5,1047120.44,0.391
redis,pipe,PING,50,64,3,1,2816901.25,0.943
redis,pipe,PING,50,64,3,2,2739726.00,0.959
redis,pipe,PING,50,64,3,3,2816901.25,0.943
redis,pipe,PING,50,64,3,4,2222222.25,1.199
redis,pipe,PING,50,64,3,5,2631579.00,1.023
redis,size,SET,50,1,8,1,67873.30,0.383
redis,size,SET,50,1,8,2,68181.82,0.375
redis,size,SET,50,1,8,3,67720.09,0.383
redis,size,SET,50,1,8,4,67873.30,0.383
redis,size,SET,50,1,8,5,68027.21,0.375
redis,size,SET,50,1,32,1,68027.21,0.375
redis,size,SET,50,1,32,2,67720.09,0.383
redis,size,SET,50,1,32,3,65217.39,0.383
redis,size,SET,50,1,32,4,67114.09,0.383
redis,size,SET,50,1,32,5,68337.12,0.375
redis,size,SET,50,1,128,1,64794.82,0.383
redis,size,SET,50,1,128,2,67873.30,0.383
redis,size,SET,50,1,128,3,67264.57,0.383
redis,size,SET,50,1,128,4,67567.57,0.383
redis,size,SET,50,1,128,5,68181.82,0.375
redis,size,SET,50,1,512,1,66964.28,0.383
redis,size,SET,50,1,512,2,67720.09,0.383
redis,size,SET,50,1,512,3,65359.48,0.383
redis,size,SET,50,1,512,4,64102.57,0.383
redis,size,SET,50,1,512,5,67415.73,0.383
redis,size,SET,50,1,2048,1,65934.06,0.391
redis,size,SET,50,1,2048,2,65217.39,0.391
redis,size,SET,50,1,2048,3,66079.30,0.391
redis,size,SET,50,1,2048,4,64655.18,0.391
redis,size,SET,50,1,2048,5,66225.16,0.391
redis,size,SET,50,1,8192,1,60120.24,0.431
redis,size,SET,50,1,8192,2,59880.24,0.431
redis,size,SET,50,1,8192,3,59523.81,0.431
redis,size,SET,50,1,8192,4,59523.81,0.431
redis,size,SET,50,1,8192,5,60120.24,0.431
redis,size,SET,50,1,32768,1,41899.44,0.615
redis,size,SET,50,1,32768,2,42735.04,0.607
redis,size,SET,50,1,32768,3,42735.04,0.607
redis,size,SET,50,1,32768,4,41095.89,0.631
redis,size,SET,50,1,32768,5,41379.31,0.623
redis,cmd,PING,50,1,3,1,68212.83,0.375
redis,cmd,PING,50,1,3,2,66577.90,0.383
redis,cmd,PING,50,1,3,3,67934.78,0.375
redis,cmd,PING,50,1,3,4,67934.78,0.375
redis,cmd,PING,50,1,3,5,67934.78,0.375
redis,cmd,SET,50,1,32,1,67567.57,0.383
redis,cmd,SET,50,1,32,2,67385.45,0.383
redis,cmd,SET,50,1,32,3,66489.37,0.383
redis,cmd,SET,50,1,32,4,67567.57,0.375
redis,cmd,SET,50,1,32,5,67842.61,0.375
redis,cmd,GET,50,1,32,1,65703.02,0.383
redis,cmd,GET,50,1,32,2,68212.83,0.375
redis,cmd,GET,50,1,32,3,67934.78,0.375
redis,cmd,GET,50,1,32,4,67750.68,0.383
redis,cmd,GET,50,1,32,5,67385.45,0.383
redis,cmd,INCR,50,1,3,1,67842.61,0.383
redis,cmd,INCR,50,1,3,2,67024.13,0.383
redis,cmd,INCR,50,1,3,3,67842.61,0.375
redis,cmd,INCR,50,1,3,4,67842.61,0.375
