server,suite,command,conns,pipeline,datasize,rep,rps,p50_ms
redis,conc,PING,1,1,3,1,23041.47,0.039
redis,conc,PING,1,1,3,2,23663.04,0.039
redis,conc,PING,1,1,3,3,22634.68,0.039
redis,conc,PING,1,1,3,4,23277.47,0.039
redis,conc,PING,1,1,3,5,23496.24,0.039
redis,conc,PING,10,1,3,1,68306.01,0.087
redis,conc,PING,10,1,3,2,68119.89,0.087
redis,conc,PING,10,1,3,3,68399.45,0.087
redis,conc,PING,10,1,3,4,67934.78,0.087
redis,conc,PING,10,1,3,5,67842.61,0.087
redis,conc,PING,50,1,3,1,68027.21,0.375
redis,conc,PING,50,1,3,2,63532.40,0.383
redis,conc,PING,50,1,3,3,67750.68,0.375
redis,conc,PING,50,1,3,4,65189.05,0.383
redis,conc,PING,50,1,3,5,64432.99,0.383
redis,conc,PING,200,1,3,1,63938.62,1.535
redis,conc,PING,200,1,3,2,66755.67,1.503
redis,conc,PING,200,1,3,3,67204.30,1.503
redis,conc,PING,200,1,3,4,63938.62,1.567
redis,conc,PING,200,1,3,5,66137.57,1.519
redis,conc,PING,1000,1,3,1,64766.84,7.695
redis,conc,PING,1000,1,3,2,63775.51,7.871
redis,conc,PING,1000,1,3,3,60459.49,8.183
redis,conc,PING,1000,1,3,4,63694.27,7.847
redis,conc,PING,1000,1,3,5,65616.80,7.663
redis,pipe,PING,50,1,3,1,66401.06,0.383
redis,pipe,PING,50,1,3,2,67590.40,0.375
redis,pipe,PING,50,1,3,3,66844.91,0.375
redis,pipe,PING,50,1,3,4,68004.08,0.375
redis,pipe,PING,50,1,3,5,66577.90,0.383
redis,pipe,PING,50,8,3,1,533333.31,0.383
redis,pipe,PING,50,8,3,2,511508.94,0.391
redis,pipe,PING,50,8,3,3,510204.09,0.391
redis,pipe,PING,50,8,3,4,522193.22,0.391
redis,pipe,PING,50,8,3,5,531914.94,0.383
redis,pipe,PING,50,16,3,1,1041666.69,0.391
redis,pipe,PING,50,16,3,2,1041666.69,0.391
redis,pipe,PING,50,16,3,3,1020408.19,0.399
redis,pipe,PING,50,16,3,4,1041666.69,0.391
redis,pipe,PING,50,16,3,5,943396.25,0.415
redis,pipe,PING,50,64,3,1,2857142.75,0.927
redis,pipe,PING,50,64,3,2,2857142.75,0.919
