server,suite,command,conns,pipeline,datasize,rep,rps,p50_ms
redis,conc,PING,1,1,3,1,48875.86,0.015
redis,conc,PING,1,1,3,2,56179.78,0.015
redis,conc,PING,1,1,3,3,57273.77,0.015
redis,conc,PING,1,1,3,4,58343.06,0.015
redis,conc,PING,1,1,3,5,54884.74,0.015
redis,conc,PING,10,1,3,1,217391.30,0.031
redis,conc,PING,10,1,3,2,216450.20,0.031
redis,conc,PING,10,1,3,3,220264.31,0.031
redis,conc,PING,10,1,3,4,214592.28,0.031
redis,conc,PING,10,1,3,5,217391.30,0.031
redis,conc,PING,50,1,3,1,200000.00,0.119
redis,conc,PING,50,1,3,2,209205.03,0.119
redis,conc,PING,50,1,3,3,176056.33,0.127
redis,conc,PING,50,1,3,4,194552.53,0.119
redis,conc,PING,50,1,3,5,203252.03,0.119
redis,conc,PING,200,1,3,1,171821.30,0.615
redis,conc,PING,200,1,3,2,180505.41,0.479
redis,conc,PING,200,1,3,3,183150.19,0.527
redis,conc,PING,200,1,3,4,202429.16,0.439
redis,conc,PING,200,1,3,5,200000.00,0.439
redis,conc,PING,1000,1,3,1,189393.94,2.359
redis,conc,PING,1000,1,3,2,136239.78,4.183
redis,conc,PING,1000,1,3,3,170648.45,3.079
redis,conc,PING,1000,1,3,4,189393.94,2.519
redis,conc,PING,1000,1,3,5,170648.45,3.367
redis,pipe,PING,50,1,3,1,153256.72,0.183
redis,pipe,PING,50,1,3,2,136054.42,0.191
redis,pipe,PING,50,1,3,3,155884.64,0.183
redis,pipe,PING,50,1,3,4,158730.16,0.183
redis,pipe,PING,50,1,3,5,175438.59,0.175
redis,pipe,PING,50,8,3,1,1204819.38,0.191
redis,pipe,PING,50,8,3,2,1212121.12,0.191
redis,pipe,PING,50,8,3,3,1324503.38,0.183
redis,pipe,PING,50,8,3,4,1212121.12,0.199
redis,pipe,PING,50,8,3,5,1315789.50,0.191
redis,pipe,PING,50,16,3,1,2173913.00,0.207
redis,pipe,PING,50,16,3,2,2298850.75,0.207
redis,pipe,PING,50,16,3,3,2247191.00,0.207
redis,pipe,PING,50,16,3,4,2105263.25,0.215
redis,pipe,PING,50,16,3,5,2173913.00,0.207
redis,pipe,PING,50,64,3,1,4081632.75,0.591
redis,pipe,PING,50,64,3,2,5263158.00,0.503
redis,pipe,PING,50,64,3,3,5128205.00,0.519
redis,pipe,PING,50,64,3,4,5128205.00,0.511
redis,pipe,PING,50,64,3,5,5128205.00,0.527
redis,size,SET,50,1,8,1,134529.14,0.191
redis,size,SET,50,1,8,2,146341.47,0.191
redis,size,SET,50,1,8,3,140186.92,0.191
redis,size,SET,50,1,8,4,138888.89,0.191
redis,size,SET,50,1,8,5,165745.86,0.183
redis,size,SET,50,1,32,1,160427.80,0.183
redis,size,SET,50,1,32,2,178571.44,0.167
redis,size,SET,50,1,32,3,143540.67,0.191
redis,size,SET,50,1,32,4,160427.80,0.183
redis,size,SET,50,1,32,5,154639.17,0.191
redis,size,SET,50,1,128,1,162162.16,0.183
redis,size,SET,50,1,128,2,147783.25,0.191
redis,size,SET,50,1,128,3,146341.47,0.191
redis,size,SET,50,1,128,4,145631.06,0.191
redis,size,SET,50,1,128,5,170454.55,0.175
redis,size,SET,50,1,512,1,142857.14,0.199
redis,size,SET,50,1,512,2,155440.41,0.191
redis,size,SET,50,1,512,3,184049.08,0.127
redis,size,SET,50,1,512,4,161290.31,0.183
redis,size,SET,50,1,512,5,173410.41,0.175
redis,size,SET,50,1,2048,1,193548.39,0.119
redis,size,SET,50,1,2048,2,168539.33,0.183
redis,size,SET,50,1,2048,3,136363.64,0.199
redis,size,SET,50,1,2048,4,138248.86,0.199
redis,size,SET,50,1,2048,5,149253.73,0.191
redis,size,SET,50,1,8192,1,135746.61,0.207
redis,size,SET,50,1,8192,2,140845.08,0.199
redis,size,SET,50,1,8192,3,156250.00,0.191
redis,size,SET,50,1,8192,4,160427.80,0.135
redis,size,SET,50,1,8192,5,149253.73,0.199
redis,size,SET,50,1,32768,1,131578.95,0.191
redis,size,SET,50,1,32768,2,119521.92,0.207
redis,size,SET,50,1,32768,3,129870.12,0.183
redis,size,SET,50,1,32768,4,135135.14,0.183
redis,size,SET,50,1,32768,5,132158.59,0.183
redis,cmd,PING,50,1,3,1,175438.59,0.135
redis,cmd,PING,50,1,3,2,165562.92,0.175
redis,cmd,PING,50,1,3,3,152905.20,0.183
redis,cmd,PING,50,1,3,4,177935.95,0.167
redis,cmd,PING,50,1,3,5,199203.20,0.119
redis,cmd,SET,50,1,32,1,187969.92,0.143
redis,cmd,SET,50,1,32,2,188679.25,0.127
redis,cmd,SET,50,1,32,3,200803.22,0.119
