server,suite,command,conns,pipeline,datasize,rep,rps,p50_ms
redis,conc,PING,1,1,3,1,53879.31,0.015
redis,conc,PING,1,1,3,2,54347.82,0.015
redis,conc,PING,1,1,3,3,54229.93,0.015
redis,conc,PING,1,1,3,4,52742.62,0.015
redis,conc,PING,1,1,3,5,52966.10,0.015
redis,conc,PING,10,1,3,1,174825.17,0.039
redis,conc,PING,10,1,3,2,164473.69,0.039
redis,conc,PING,10,1,3,3,181159.42,0.039
redis,conc,PING,10,1,3,4,174216.03,0.039
redis,conc,PING,10,1,3,5,166112.95,0.039
redis,conc,PING,50,1,3,1,189393.94,0.127
redis,conc,PING,50,1,3,2,156250.00,0.183
redis,conc,PING,50,1,3,3,161812.31,0.183
redis,conc,PING,50,1,3,4,202429.16,0.119
redis,conc,PING,50,1,3,5,171232.88,0.175
redis,conc,PING,200,1,3,1,199203.20,0.447
redis,conc,PING,200,1,3,2,200803.22,0.447
redis,conc,PING,200,1,3,3,202429.16,0.447
redis,conc,PING,200,1,3,4,204081.62,0.447
redis,conc,PING,200,1,3,5,206611.58,0.439
redis,conc,PING,1000,1,3,1,201612.91,2.159
redis,conc,PING,1000,1,3,2,190114.06,2.479
redis,conc,PING,1000,1,3,3,184501.84,2.519
redis,conc,PING,1000,1,3,4,193798.45,2.327
redis,conc,PING,1000,1,3,5,205761.31,2.159
redis,pipe,PING,50,1,3,1,200000.00,0.119
redis,pipe,PING,50,1,3,2,206185.56,0.119
redis,pipe,PING,50,1,3,3,204918.03,0.119
redis,pipe,PING,50,1,3,4,195694.72,0.127
redis,pipe,PING,50,1,3,5,196270.84,0.127
redis,pipe,PING,50,8,3,1,1626016.25,0.119
redis,pipe,PING,50,8,3,2,1666666.75,0.119
redis,pipe,PING,50,8,3,3,1428571.38,0.135
redis,pipe,PING,50,8,3,4,1562499.88,0.127
redis,pipe,PING,50,8,3,5,1574803.12,0.127
redis,pipe,PING,50,16,3,1,2739726.00,0.151
redis,pipe,PING,50,16,3,2,2941176.25,0.135
redis,pipe,PING,50,16,3,3,2702702.75,0.159
redis,pipe,PING,50,16,3,4,3076923.25,0.135
redis,pipe,PING,50,16,3,5,2666666.50,0.191
redis,pipe,PING,50,64,3,1,6060606.00,0.431
redis,pipe,PING,50,64,3,2,6249999.50,0.423
redis,pipe,PING,50,64,3,3,6249999.50,0.431
redis,pipe,PING,50,64,3,4,6249999.50,0.423
redis,pipe,PING,50,64,3,5,6060606.00,0.439
redis,size,SET,50,1,8,1,175438.59,0.143
redis,size,SET,50,1,8,2,193548.39,0.127
redis,size,SET,50,1,8,3,202702.70,0.119
redis,size,SET,50,1,8,4,202702.70,0.119
redis,size,SET,50,1,8,5,198675.50,0.119
redis,size,SET,50,1,32,1,205479.45,0.119
redis,size,SET,50,1,32,2,209790.20,0.119
redis,size,SET,50,1,32,3,227272.73,0.119
redis,size,SET,50,1,32,4,211267.59,0.119
redis,size,SET,50,1,32,5,201342.28,0.119
redis,size,SET,50,1,128,1,201342.28,0.119
redis,size,SET,50,1,128,2,206896.56,0.119
redis,size,SET,50,1,128,3,206896.56,0.119
redis,size,SET,50,1,128,4,196078.44,0.127
redis,size,SET,50,1,128,5,202702.70,0.119
redis,size,SET,50,1,512,1,206896.56,0.119
redis,size,SET,50,1,512,2,205479.45,0.119
redis,size,SET,50,1,512,3,196078.44,0.127
redis,size,SET,50,1,512,4,212765.95,0.119
redis,size,SET,50,1,512,5,197368.42,0.119
redis,size,SET,50,1,2048,1,184049.08,0.135
redis,size,SET,50,1,2048,2,163934.42,0.167
redis,size,SET,50,1,2048,3,201342.28,0.119
redis,size,SET,50,1,2048,4,191082.80,0.127
redis,size,SET,50,1,2048,5,197368.42,0.127
redis,size,SET,50,1,8192,1,180722.91,0.135
redis,size,SET,50,1,8192,2,187500.00,0.127
redis,size,SET,50,1,8192,3,179640.72,0.127
redis,size,SET,50,1,8192,4,184049.08,0.135
redis,size,SET,50,1,8192,5,182926.83,0.135
redis,size,SET,50,1,32768,1,129310.35,0.199
redis,size,SET,50,1,32768,2,133928.56,0.191
redis,size,SET,50,1,32768,3,117647.06,0.215
redis,size,SET,50,1,32768,4,111524.16,0.247
redis,size,SET,50,1,32768,5,125523.02,0.199
redis,cmd,PING,50,1,3,1,171821.30,0.175
redis,cmd,PING,50,1,3,2,190114.06,0.127
redis,cmd,PING,50,1,3,3,190839.70,0.127
redis,cmd,PING,50,1,3,4,197628.47,0.119
redis,cmd,PING,50,1,3,5,197628.47,0.127
redis,cmd,SET,50,1,32,1,196078.44,0.119
