server,scenario,keypattern,datasize,pipeline,rep,ops_sec,p50_ms,p99_ms,p999_ms
redis,uniform,R:R,32,1,1,183575.31,0.000,0.000,0.000
redis,uniform,R:R,32,1,2,181159.46,0.000,0.000,0.000
redis,uniform,R:R,32,1,3,178585.41,0.000,0.000,0.000
redis,randomsize,R:R,8-16384,1,1,180848.03,0.000,0.000,0.000
redis,randomsize,R:R,8-16384,1,2,182529.29,0.000,0.000,0.000
redis,randomsize,R:R,8-16384,1,3,179489.78,0.000,0.000,0.000
redis,gaussian,G:G,32,1,1,187128.37,0.000,0.000,0.000
redis,gaussian,G:G,32,1,2,179882.22,0.000,0.000,0.000
redis,gaussian,G:G,32,1,3,180820.14,0.000,0.000,0.000
redis,writeheavy,R:R,128,1,1,180953.27,0.000,0.000,0.000
redis,writeheavy,R:R,128,1,2,182852.90,0.000,0.000,0.000
redis,writeheavy,R:R,128,1,3,185441.66,0.000,0.000,0.000
redis,pipelined,R:R,32,16,1,1791403.07,0.000,0.000,0.000
redis,pipelined,R:R,32,16,2,1792034.65,0.000,0.000,0.000
redis,pipelined,R:R,32,16,3,1784583.63,0.000,0.000,0.000
kqueue-nobuf,uniform,R:R,32,1,1,183605.07,0.000,0.000,0.000
kqueue-nobuf,uniform,R:R,32,1,2,182033.43,0.000,0.000,0.000
kqueue-nobuf,uniform,R:R,32,1,3,177840.83,0.000,0.000,0.000
kqueue-nobuf,randomsize,R:R,8-16384,1,1,183516.39,0.000,0.000,0.000
kqueue-nobuf,randomsize,R:R,8-16384,1,2,188593.01,0.000,0.000,0.000
kqueue-nobuf,randomsize,R:R,8-16384,1,3,186638.86,0.000,0.000,0.000
kqueue-nobuf,gaussian,G:G,32,1,1,190901.43,0.000,0.000,0.000
kqueue-nobuf,gaussian,G:G,32,1,2,183585.26,0.000,0.000,0.000
kqueue-nobuf,gaussian,G:G,32,1,3,184968.67,0.000,0.000,0.000
kqueue-nobuf,writeheavy,R:R,128,1,1,188269.81,0.000,0.000,0.000
kqueue-nobuf,writeheavy,R:R,128,1,2,182312.73,0.000,0.000,0.000
kqueue-nobuf,writeheavy,R:R,128,1,3,178166.71,0.000,0.000,0.000
kqueue-nobuf,pipelined,R:R,32,16,1,1742944.12,0.000,0.000,0.000
kqueue-nobuf,pipelined,R:R,32,16,2,1756159.73,0.000,0.000,0.000
kqueue-nobuf,pipelined,R:R,32,16,3,1748860.54,0.000,0.000,0.000
kqueue,uniform,R:R,32,1,1,179346.02,0.000,0.000,0.000
kqueue,uniform,R:R,32,1,2,178423.86,0.000,0.000,0.000
kqueue,uniform,R:R,32,1,3,181924.93,0.000,0.000,0.000
kqueue,randomsize,R:R,8-16384,1,1,179816.09,0.000,0.000,0.000
kqueue,randomsize,R:R,8-16384,1,2,177290.24,0.000,0.000,0.000
kqueue,randomsize,R:R,8-16384,1,3,175809.04,0.000,0.000,0.000
kqueue,gaussian,G:G,32,1,1,177642.90,0.000,0.000,0.000
kqueue,gaussian,G:G,32,1,2,182478.32,0.000,0.000,0.000
kqueue,gaussian,G:G,32,1,3,185979.28,0.000,0.000,0.000
kqueue,writeheavy,R:R,128,1,1,183111.08,0.000,0.000,0.000
kqueue,writeheavy,R:R,128,1,2,175148.95,0.000,0.000,0.000
kqueue,writeheavy,R:R,128,1,3,149720.47,0.000,0.000,0.000
kqueue,pipelined,R:R,32,16,1,1765303.68,0.000,0.000,0.000
kqueue,pipelined,R:R,32,16,2,1748710.92,0.000,0.000,0.000
kqueue,pipelined,R:R,32,16,3,1760505.04,0.000,0.000,0.000
net,uniform,R:R,32,1,1,180736.46,0.000,0.000,0.000
net,uniform,R:R,32,1,2,173656.69,0.000,0.000,0.000
net,uniform,R:R,32,1,3,181560.07,0.000,0.000,0.000
net,randomsize,R:R,8-16384,1,1,186349.85,0.000,0.000,0.000
net,randomsize,R:R,8-16384,1,2,180779.60,0.000,0.000,0.000
net,randomsize,R:R,8-16384,1,3,174485.51,0.000,0.000,0.000
net,gaussian,G:G,32,1,1,176013.11,0.000,0.000,0.000
net,gaussian,G:G,32,1,2,179864.27,0.000,0.000,0.000
net,gaussian,G:G,32,1,3,179013.56,0.000,0.000,0.000
net,writeheavy,R:R,128,1,1,175955.42,0.000,0.000,0.000
net,writeheavy,R:R,128,1,2,171180.88,0.000,0.000,0.000
net,writeheavy,R:R,128,1,3,169951.08,0.000,0.000,0.000
net,pipelined,R:R,32,16,1,1686066.91,0.000,0.000,0.000
net,pipelined,R:R,32,16,2,1737196.11,0.000,0.000,0.000
net,pipelined,R:R,32,16,3,1761405.68,0.000,0.000,0.000
