server,scenario,keypattern,datasize,pipeline,rep,ops_sec,p50_ms,p99_ms,p999_ms
redis,uniform,R:R,32,1,1,181623.51,0.000,0.000,0.000
redis,uniform,R:R,32,1,2,179941.16,0.000,0.000,0.000
redis,uniform,R:R,32,1,3,180440.48,0.000,0.000,0.000
redis,randomsize,R:R,8-16384,1,1,179445.68,0.000,0.000,0.000
redis,randomsize,R:R,8-16384,1,2,178055.89,0.000,0.000,0.000
redis,randomsize,R:R,8-16384,1,3,159071.78,0.000,0.000,0.000
redis,gaussian,G:G,32,1,1,124290.13,0.000,0.000,0.000
redis,gaussian,G:G,32,1,2,178567.23,0.000,0.000,0.000
redis,gaussian,G:G,32,1,3,177987.30,0.000,0.000,0.000
redis,writeheavy,R:R,128,1,1,175878.25,0.000,0.000,0.000
redis,writeheavy,R:R,128,1,2,176550.50,0.000,0.000,0.000
redis,writeheavy,R:R,128,1,3,175644.24,0.000,0.000,0.000
redis,pipelined,R:R,32,16,1,1751951.24,0.000,0.000,0.000
redis,pipelined,R:R,32,16,2,1769778.78,0.000,0.000,0.000
redis,pipelined,R:R,32,16,3,1774183.43,0.000,0.000,0.000
kqueue-nobuf,uniform,R:R,32,1,1,187669.74,0.000,0.000,0.000
kqueue-nobuf,uniform,R:R,32,1,2,183009.64,0.000,0.000,0.000
kqueue-nobuf,uniform,R:R,32,1,3,177713.01,0.000,0.000,0.000
kqueue-nobuf,randomsize,R:R,8-16384,1,1,169898.45,0.000,0.000,0.000
kqueue-nobuf,randomsize,R:R,8-16384,1,2,178915.71,0.000,0.000,0.000
kqueue-nobuf,randomsize,R:R,8-16384,1,3,170143.15,0.000,0.000,0.000
kqueue-nobuf,gaussian,G:G,32,1,1,181753.93,0.000,0.000,0.000
kqueue-nobuf,gaussian,G:G,32,1,2,178611.95,0.000,0.000,0.000
kqueue-nobuf,gaussian,G:G,32,1,3,180012.68,0.000,0.000,0.000
kqueue-nobuf,writeheavy,R:R,128,1,1,186704.86,0.000,0.000,0.000
kqueue-nobuf,writeheavy,R:R,128,1,2,191307.54,0.000,0.000,0.000
kqueue-nobuf,writeheavy,R:R,128,1,3,187526.08,0.000,0.000,0.000
kqueue-nobuf,pipelined,R:R,32,16,1,979914.95,0.000,0.000,0.000
kqueue-nobuf,pipelined,R:R,32,16,2,958649.11,0.000,0.000,0.000
kqueue-nobuf,pipelined,R:R,32,16,3,973816.73,0.000,0.000,0.000
kqueue,uniform,R:R,32,1,1,183346.15,0.000,0.000,0.000
kqueue,uniform,R:R,32,1,2,193985.10,0.000,0.000,0.000
kqueue,uniform,R:R,32,1,3,196379.94,0.000,0.000,0.000
kqueue,randomsize,R:R,8-16384,1,1,185237.77,0.000,0.000,0.000
kqueue,randomsize,R:R,8-16384,1,2,186059.00,0.000,0.000,0.000
kqueue,randomsize,R:R,8-16384,1,3,183763.14,0.000,0.000,0.000
kqueue,gaussian,G:G,32,1,1,195752.83,0.000,0.000,0.000
kqueue,gaussian,G:G,32,1,2,199121.34,0.000,0.000,0.000
kqueue,gaussian,G:G,32,1,3,204156.46,0.000,0.000,0.000
kqueue,writeheavy,R:R,128,1,1,192414.83,0.000,0.000,0.000
kqueue,writeheavy,R:R,128,1,2,189286.29,0.000,0.000,0.000
kqueue,writeheavy,R:R,128,1,3,193922.47,0.000,0.000,0.000
kqueue,pipelined,R:R,32,16,1,1958670.91,0.000,0.000,0.000
kqueue,pipelined,R:R,32,16,2,2009056.37,0.000,0.000,0.000
kqueue,pipelined,R:R,32,16,3,2003103.75,0.000,0.000,0.000
net,uniform,R:R,32,1,1,153382.25,0.000,0.000,0.000
net,uniform,R:R,32,1,2,153621.10,0.000,0.000,0.000
net,uniform,R:R,32,1,3,154692.17,0.000,0.000,0.000
net,randomsize,R:R,8-16384,1,1,152647.09,0.000,0.000,0.000
net,randomsize,R:R,8-16384,1,2,152723.92,0.000,0.000,0.000
net,randomsize,R:R,8-16384,1,3,153272.64,0.000,0.000,0.000
net,gaussian,G:G,32,1,1,154797.31,0.000,0.000,0.000
net,gaussian,G:G,32,1,2,154708.63,0.000,0.000,0.000
net,gaussian,G:G,32,1,3,152905.27,0.000,0.000,0.000
net,writeheavy,R:R,128,1,1,153891.89,0.000,0.000,0.000
net,writeheavy,R:R,128,1,2,154674.65,0.000,0.000,0.000
net,writeheavy,R:R,128,1,3,154765.26,0.000,0.000,0.000
net,pipelined,R:R,32,16,1,2061127.55,0.000,0.000,0.000
net,pipelined,R:R,32,16,2,2037838.05,0.000,0.000,0.000
net,pipelined,R:R,32,16,3,2034552.83,0.000,0.000,0.000
