server,suite,command,conns,pipeline,datasize,rep,rps,p50_ms
inline,conc,PING,1,1,3,1,57142.86,0.015
phased,conc,PING,1,1,3,1,57937.43,0.015
inline,conc,PING,1,1,3,2,58616.65,0.015
phased,conc,PING,1,1,3,2,58275.06,0.015
inline,conc,PING,1,1,3,3,58479.53,0.015
phased,conc,PING,1,1,3,3,58479.53,0.015
inline,conc,PING,1,1,3,4,58207.21,0.015
phased,conc,PING,1,1,3,4,58275.06,0.015
inline,conc,PING,1,1,3,5,58207.21,0.015
phased,conc,PING,1,1,3,5,58072.01,0.015
inline,conc,PING,10,1,3,1,183150.19,0.031
phased,conc,PING,10,1,3,1,190839.70,0.031
inline,conc,PING,10,1,3,2,184501.84,0.031
phased,conc,PING,10,1,3,2,183823.52,0.031
inline,conc,PING,10,1,3,3,173010.38,0.039
phased,conc,PING,10,1,3,3,195312.48,0.031
inline,conc,PING,10,1,3,4,181818.17,0.031
phased,conc,PING,10,1,3,4,192307.70,0.031
inline,conc,PING,10,1,3,5,179856.11,0.031
phased,conc,PING,10,1,3,5,190839.70,0.031
inline,conc,PING,50,1,3,1,197628.47,0.127
phased,conc,PING,50,1,3,1,193798.45,0.127
inline,conc,PING,50,1,3,2,203252.03,0.127
phased,conc,PING,50,1,3,2,189393.94,0.127
inline,conc,PING,50,1,3,3,196078.44,0.127
phased,conc,PING,50,1,3,3,193050.19,0.127
inline,conc,PING,50,1,3,4,189393.94,0.127
phased,conc,PING,50,1,3,4,194552.53,0.127
inline,conc,PING,50,1,3,5,191570.88,0.127
phased,conc,PING,50,1,3,5,179856.11,0.135
inline,conc,PING,200,1,3,1,185185.17,0.487
phased,conc,PING,200,1,3,1,184501.84,0.487
inline,conc,PING,200,1,3,2,180505.41,0.487
phased,conc,PING,200,1,3,2,188679.25,0.479
inline,conc,PING,200,1,3,3,183150.19,0.487
phased,conc,PING,200,1,3,3,184501.84,0.495
inline,conc,PING,200,1,3,4,179211.45,0.495
phased,conc,PING,200,1,3,4,184501.84,0.487
inline,conc,PING,200,1,3,5,177935.95,0.511
phased,conc,PING,200,1,3,5,177304.97,0.511
inline,conc,PING,1000,1,3,1,179211.45,2.519
phased,conc,PING,1000,1,3,1,181159.42,2.383
inline,conc,PING,1000,1,3,2,179211.45,2.431
phased,conc,PING,1000,1,3,2,176056.33,2.503
inline,conc,PING,1000,1,3,3,165016.50,2.887
phased,conc,PING,1000,1,3,3,192307.70,2.415
inline,conc,PING,1000,1,3,4,167224.08,3.055
phased,conc,PING,1000,1,3,4,183150.19,2.359
inline,conc,PING,1000,1,3,5,166666.66,3.239
phased,conc,PING,1000,1,3,5,173611.12,2.519
inline,pipe,PING,50,1,3,1,185873.61,0.135
phased,pipe,PING,50,1,3,1,188679.25,0.127
inline,pipe,PING,50,1,3,2,185701.02,0.127
phased,pipe,PING,50,1,3,2,186393.30,0.135
inline,pipe,PING,50,1,3,3,183823.52,0.135
phased,pipe,PING,50,1,3,3,186741.36,0.135
inline,pipe,PING,50,1,3,4,174672.48,0.135
phased,pipe,PING,50,1,3,4,186915.88,0.127
inline,pipe,PING,50,1,3,5,182315.41,0.135
phased,pipe,PING,50,1,3,5,186741.36,0.127
inline,pipe,PING,50,8,3,1,1351351.38,0.143
phased,pipe,PING,50,8,3,1,1360544.25,0.143
inline,pipe,PING,50,8,3,2,1360544.25,0.143
