server,conns,rss_kb,baseline_rss_kb,rss_delta_kb_per_conn,rep
redis,0,7104,7104,0,1
redis,0,7168,7168,0,2
redis,0,7344,7344,0,3
redis,100,9072,7216,18.56,1
redis,100,9136,7328,18.08,2
redis,100,9072,7184,18.88,3
redis,500,16256,7184,18.144,1
redis,500,16192,7152,18.08,2
redis,500,16192,7104,18.176,3
kqueue,0,6000,6000,0,1
kqueue,0,6032,6032,0,2
kqueue,0,5888,5888,0,3
kqueue,100,6032,5968,0.64,1
kqueue,100,5968,5824,1.44,2
kqueue,100,6064,5936,1.28,3
kqueue,500,6320,5840,0.96,1
kqueue,500,6000,5680,0.64,2
kqueue,500,6112,5696,0.832,3
net,0,5840,5840,0,1
net,0,5904,5904,0,2
net,0,5792,5792,0,3
net,100,12400,5952,64.48,1
net,100,11552,5840,57.12,2
net,100,12192,5904,62.88,3
net,500,30848,5856,49.984,1
net,500,28416,5760,45.312,2
net,500,29008,5680,46.656,3
