server,persistence,pipeline,rep,ops_sec,p50_ms,p99_ms,p999_ms,errors
keel,none,1,1,12119,7.807,18.431,37.119,0
redis,none,1,1,11767,8.031,18.559,30.335,0
redis,none,1,2,12357,7.711,16.383,28.543,0
keel,none,1,2,12763,7.519,16.319,24.703,0
keel,none,1,3,12655,7.583,15.999,24.959,0
redis,none,1,3,12536,7.679,16.319,27.391,0
keel,none,16,1,148443,10.239,22.399,35.839,0
redis,none,16,1,148109,10.239,21.119,36.351,0
redis,none,16,2,149486,10.175,23.295,34.047,0
keel,none,16,2,156891,9.919,22.527,33.791,0
keel,none,16,3,134241,11.007,30.207,50.431,0
redis,none,16,3,142291,10.623,25.471,43.007,0
keel,everysec,1,1,12304,7.839,15.359,25.471,0
redis,everysec,1,1,12180,7.871,15.551,25.983,0
redis,everysec,1,2,12281,7.839,15.167,22.911,0
keel,everysec,1,2,12370,7.807,15.679,25.087,0
keel,everysec,1,3,12273,7.871,15.103,23.935,0
redis,everysec,1,3,12351,7.807,15.423,25.343,0
keel,everysec,16,1,152787,10.175,20.863,31.487,0
redis,everysec,16,1,157284,9.855,19.839,27.775,0
redis,everysec,16,2,144786,10.559,24.575,38.655,0
keel,everysec,16,2,149039,10.111,22.271,49.151,0
keel,everysec,16,3,151582,9.983,22.271,37.887,0
redis,everysec,16,3,160701,9.599,18.943,29.055,0
