server,suite,command,conns,pipeline,datasize,rep,rps,p50_ms
nocheck,conc,PING,1,1,3,1,56818.18,0.015
typecheck,conc,PING,1,1,3,1,58754.41,0.015
nocheck,conc,PING,1,1,3,2,58479.53,0.015
typecheck,conc,PING,1,1,3,2,58207.21,0.015
nocheck,conc,PING,1,1,3,3,58139.54,0.015
typecheck,conc,PING,1,1,3,3,58139.54,0.015
nocheck,conc,PING,1,1,3,4,58343.06,0.015
typecheck,conc,PING,1,1,3,4,58004.64,0.015
nocheck,conc,PING,1,1,3,5,58139.54,0.015
typecheck,conc,PING,1,1,3,5,58004.64,0.015
nocheck,conc,PING,10,1,3,1,185873.61,0.031
typecheck,conc,PING,10,1,3,1,190114.06,0.031
nocheck,conc,PING,10,1,3,2,195312.48,0.031
typecheck,conc,PING,10,1,3,2,196078.44,0.031
nocheck,conc,PING,10,1,3,3,198412.69,0.031
typecheck,conc,PING,10,1,3,3,190839.70,0.031
nocheck,conc,PING,10,1,3,4,202429.16,0.031
typecheck,conc,PING,10,1,3,4,194552.53,0.031
nocheck,conc,PING,10,1,3,5,199203.20,0.031
typecheck,conc,PING,10,1,3,5,197628.47,0.031
nocheck,conc,PING,50,1,3,1,193798.45,0.127
typecheck,conc,PING,50,1,3,1,188679.25,0.127
nocheck,conc,PING,50,1,3,2,201612.91,0.127
typecheck,conc,PING,50,1,3,2,185185.17,0.127
nocheck,conc,PING,50,1,3,3,207468.88,0.127
typecheck,conc,PING,50,1,3,3,203252.03,0.127
nocheck,conc,PING,50,1,3,4,194552.53,0.127
typecheck,conc,PING,50,1,3,4,201612.91,0.127
nocheck,conc,PING,50,1,3,5,202429.16,0.127
typecheck,conc,PING,50,1,3,5,193050.19,0.127
nocheck,conc,PING,200,1,3,1,190114.06,0.479
typecheck,conc,PING,200,1,3,1,185873.61,0.487
nocheck,conc,PING,200,1,3,2,190839.70,0.479
typecheck,conc,PING,200,1,3,2,197628.47,0.471
nocheck,conc,PING,200,1,3,3,194552.53,0.479
typecheck,conc,PING,200,1,3,3,192307.70,0.479
nocheck,conc,PING,200,1,3,4,189393.94,0.479
typecheck,conc,PING,200,1,3,4,190839.70,0.479
nocheck,conc,PING,200,1,3,5,184501.84,0.487
typecheck,conc,PING,200,1,3,5,192307.70,0.479
nocheck,conc,PING,1000,1,3,1,167224.08,2.799
typecheck,conc,PING,1000,1,3,1,181159.42,2.375
nocheck,conc,PING,1000,1,3,2,167785.23,3.079
typecheck,conc,PING,1000,1,3,2,173010.38,2.463
nocheck,conc,PING,1000,1,3,3,176678.45,2.559
typecheck,conc,PING,1000,1,3,3,176056.33,2.415
nocheck,conc,PING,1000,1,3,4,196078.44,2.295
typecheck,conc,PING,1000,1,3,4,192307.70,2.303
nocheck,conc,PING,1000,1,3,5,189393.94,2.343
typecheck,conc,PING,1000,1,3,5,187265.92,2.359
nocheck,pipe,PING,50,1,3,1,198807.16,0.127
typecheck,pipe,PING,50,1,3,1,198412.69,0.127
nocheck,pipe,PING,50,1,3,2,197823.92,0.127
typecheck,pipe,PING,50,1,3,2,201005.03,0.127
nocheck,pipe,PING,50,1,3,3,198019.80,0.127
typecheck,pipe,PING,50,1,3,3,194931.77,0.127
nocheck,pipe,PING,50,1,3,4,198412.69,0.127
typecheck,pipe,PING,50,1,3,4,200601.81,0.127
nocheck,pipe,PING,50,1,3,5,192122.95,0.127
typecheck,pipe,PING,50,1,3,5,198019.80,0.127
nocheck,pipe,PING,50,8,3,1,1369863.00,0.143
typecheck,pipe,PING,50,8,3,1,1379310.38,0.143
nocheck,pipe,PING,50,8,3,2,1481481.38,0.135
typecheck,pipe,PING,50,8,3,2,1503759.38,0.135
nocheck,pipe,PING,50,8,3,3,1503759.38,0.135
typecheck,pipe,PING,50,8,3,3,1492537.25,0.135
nocheck,pipe,PING,50,8,3,4,1418439.75,0.143
typecheck,pipe,PING,50,8,3,4,1418439.75,0.135
nocheck,pipe,PING,50,8,3,5,1438848.88,0.135
typecheck,pipe,PING,50,8,3,5,1526717.62,0.135
nocheck,pipe,PING,50,64,3,1,6249999.50,0.399
typecheck,pipe,PING,50,64,3,1,6249999.50,0.415
nocheck,pipe,PING,50,64,3,2,6451613.00,0.399
typecheck,pipe,PING,50,64,3,2,6249999.50,0.407
nocheck,pipe,PING,50,64,3,3,6451613.00,0.383
typecheck,pipe,PING,50,64,3,3,6060606.00,0.415
nocheck,pipe,PING,50,64,3,4,6060606.00,0.407
typecheck,pipe,PING,50,64,3,4,6451613.00,0.399
nocheck,pipe,PING,50,64,3,5,6060606.00,0.383
typecheck,pipe,PING,50,64,3,5,6249999.50,0.407
nocheck,size,SET,50,1,8,1,194174.75,0.127
typecheck,size,SET,50,1,8,1,196078.44,0.127
nocheck,size,SET,50,1,8,2,204081.64,0.127
typecheck,size,SET,50,1,8,2,190476.20,0.127
